,produto,preco-antigo,preco-atual,link
21," Tapete 2,00x2,50 Costa Oro Shaggy Mega Promoção Peludo",R$ 219,R$ 18252,https://produto.mercadolivre.com.br/MLB-1558026140-tapete-200x250-costa-oro-shaggy-mega-promoco-peludo-_JM?hide_psmb=true#reco_item_pos=21&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
22,Cerveja Goose Island Midway Session Ipa 355ml,R$ 9,R$ 499,https://produto.mercadolivre.com.br/MLB-1881350232-cerveja-goose-island-midway-session-ipa-355ml-_JM?hide_psmb=true#reco_item_pos=22&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
23,Kit 10 Lâmpada Led 9w Bulbo Soquete E27 Bivolt Casa Comércio,R$ 54,R$ 4932,https://produto.mercadolivre.com.br/MLB-1310064633-kit-10-lmpada-led-9w-bulbo-soquete-e27-bivolt-casa-comercio-_JM?variation=48977051147&hide_psmb=true#reco_item_pos=23&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
24,Disco Sólido Interno Kingston Sa400s37/480g 480gb Preto,,R$ 369,https://produto.mercadolivre.com.br/MLB-1903953308-disco-solido-interno-kingston-sa400s37480g-480gb-preto-_JM?hide_psmb=true#reco_item_pos=24&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=BUY_BOX_WINNER
25,Ssd 120 Gb Goldenfir - Excelente Velocidade Comprovada ,R$ 199,R$ 18109,https://produto.mercadolivre.com.br/MLB-1628942380-ssd-120-gb-goldenfir-excelente-velocidade-comprovada-_JM?variation=78713395098&hide_psmb=true#reco_item_pos=25&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
26,Cerveja Americana Goose Island Ipa Garrafa 355ml Importada,R$ 11,R$ 599,https://produto.mercadolivre.com.br/MLB-1881366433-cerveja-americana-goose-island-ipa-garrafa-355ml-importada-_JM?hide_psmb=true#reco_item_pos=26&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
27,Johnson's Baby Toalhinhas Limpeza E Suavidade 44 Unidades,R$ 8,R$ 7,https://produto.mercadolivre.com.br/MLB-1272209868-johnsons-baby-toalhinhas-limpeza-e-suavidade-44-unidades-_JM?hide_psmb=true#reco_item_pos=27&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=LIGHTNING_DEAL
28,Calça Moletom Feminina Jogger Cós Alto Bolso Lateral,R$ 59,R$ 5391,https://produto.mercadolivre.com.br/MLB-1905475176-calca-moletom-feminina-jogger-cos-alto-bolso-lateral-_JM?hide_psmb=true#reco_item_pos=28&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
29,LG K52 (13 Mpx) Dual Sim 64 Gb Gray 3 Gb Ram,,R$ 981,https://produto.mercadolivre.com.br/MLB-1808435812-lg-k52-13-mpx-dual-sim-64-gb-gray-3-gb-ram-_JM?hide_psmb=true#reco_item_pos=29&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
30,Alto-falante Tedge Tk-86 Portátil Com Bluetooth Preto 110v/220v ,R$ 199,R$ 170,https://produto.mercadolivre.com.br/MLB-1873405652-alto-falante-tedge-tk-86-portatil-com-bluetooth-preto-110v220v-_JM?hide_psmb=true#reco_item_pos=30&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
31,Cerveja Irlandesa Guinness Draught Lata 440ml,R$ 19,R$ 1399,https://produto.mercadolivre.com.br/MLB-1903251451-cerveja-irlandesa-guinness-draught-lata-440ml-_JM?hide_psmb=true#reco_item_pos=31&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
32,Multigroomer Mondial Super Groom Bg-03 5810-01  Preto 110v/220v,R$ 149,R$ 13261,https://produto.mercadolivre.com.br/MLB-1788584665-multigroomer-mondial-super-groom-bg-03-5810-01-preto-110v220v-_JM?hide_psmb=true#reco_item_pos=32&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
33,Som Automotivo Multilaser Trip P3350 Com Usb E Bluetooth,R$ 149,R$ 9490,https://produto.mercadolivre.com.br/MLB-1604614268-som-automotivo-multilaser-trip-p3350-com-usb-e-bluetooth-_JM?hide_psmb=true#reco_item_pos=33&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=BUY_BOX_WINNER
